CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
USA,2021,11,b,528,16087,12423,14471,16732,60241,0.000452341289301717,0.00387605440419072,0.0192579320445229,0.0462374519954132,0.142118057505435,0.00942236700228248,0,0,0
USA,2021,12,m,329,10342,7105,7457,6620,31853,0.000550872646259961,0.00496358955672503,0.023383114699586,0.0539303665000344,0.153771035409818,0.0100610217211789,0,0,0
USA,2021,12,f,259,6022,5244,7168,10165,28858,0.000454365233841331,0.0029137086740964,0.0153677938963737,0.041030219350774,0.136110290022732,0.00894149782373251,0,0,0
USA,2021,12,b,588,16364,12349,14625,16785,60711,0.000503743708540548,0.00394279569031994,0.0191432184510837,0.0467295097389896,0.142568228258948,0.00949588026552633,0,0,0
USA,2021,13,m,310,10066,7125,7238,6326,31065,0.000519059332342213,0.00483112478031272,0.023448936275095,0.052346519072985,0.1469419290034,0.00981212569517542,0,0,0
USA,2021,13,f,238,5671,5204,6797,9591,27501,0.000417524809475818,0.00274387942391243,0.0152505719749673,0.0389065849507828,0.128424376941271,0.00852103859070163,0,0,0
USA,2021,13,b,548,15737,12329,14035,15917,58566,0.000469475429047994,0.00379172425926209,0.0191122147771812,0.0448443534486645,0.135195620446689,0.00916037824497727,0,0,0
USA,2021,14,m,297,10776,7345,7558,6433,32409,0.000497292328082701,0.00517188561818496,0.0241729736056945,0.0546608166832855,0.149427352083287,0.0102366387141458,0,0,0
USA,2021,14,f,290,5927,5342,6882,10030,28471,0.000508748717428517,0.00286774349242268,0.0156549876038193,0.0393931319157404,0.134302627538417,0.00882158793192488,0,0,0
USA,2021,14,b,587,16703,12687,14440,16463,60880,0.000502887001553234,0.00402447545926509,0.0196671805400356,0.0461384014106673,0.139833228586659,0.00952231375805443,0,0,0
USA,2021,15,m,298,10488,7130,7199,6312,31427,0.00049896671302574,0.00503366150366777,0.0234653916689723,0.0520644640517296,0.146616733460237,0.00992646625534453,0,0,0
USA,2021,15,f,258,5850,5187,6652,9643,27590,0.000452610927919164,0.00283048750306608,0.0152007526583696,0.0380765930693846,0.129120661750045,0.00854861476737057,0,0,0
USA,2021,15,b,556,16338,12317,13851,15955,59017,0.000476329084946505,0.0039365311652681,0.0190936125728398,0.0442564403004954,0.135518384383171,0.00923091969545168,0,0,0
USA,2021,16,m,319,10524,7203,7403,6402,31851,0.000534128796829567,0.00505093951798242,0.0237056404195803,0.0535398287782962,0.148707276237712,0.0100603900053769,0,0,0
USA,2021,16,f,238,6085,5305,6837,9825,28290,0.000417524809475818,0.00294419084720634,0.0155465573265184,0.0391355482284099,0.131557658580752,0.00876550604454198,0,0,0
USA,2021,16,b,557,16609,12508,14240,16227,60141,0.000477185791933818,0.00400182679176998,0.0193896976586084,0.0454993653800487,0.137828694665353,0.00940672588244336,0,0,0
USA,2021,17,m,302,10332,7181,7454,6353,31622,0.000505664252797898,0.00495879010830429,0.0236332366865204,0.0539086699599379,0.147569091836642,0.00998805854604336,0,0,0
USA,2021,17,f,277,5949,5338,6746,9750,28060,0.000485942740440343,0.00287838806081028,0.0156432654116786,0.0386146567718083,0.130553401645021,0.00869424176775709,0,0,0
